timestamp,server,disk_total_gb,disk_used_gb,disk_percent,read_iops,write_iops,read_mbps,write_mbps,status
2026-02-22 10:41:42,web-01,100,45.0,45.0,111,31,0.44,0.12,OK
2026-02-22 10:41:42,web-02,100,45.0,45.0,157,35,0.63,0.14,OK
2026-02-22 10:41:42,web-03,100,45.0,45.0,159,54,0.64,0.22,OK
2026-02-22 10:41:42,web-04,100,45.0,45.0,66,50,0.26,0.2,OK
2026-02-22 10:41:42,web-05,100,45.0,45.0,176,68,0.7,0.27,OK
2026-02-22 10:41:42,app-01,200,120.0,60.0,103,80,0.41,0.32,OK
2026-02-22 10:41:42,app-02,200,120.0,60.0,193,196,0.77,0.78,OK
2026-02-22 10:41:42,app-03,200,120.0,60.0,158,141,0.63,0.56,OK
2026-02-22 10:41:42,app-04,200,120.0,60.0,233,129,0.93,0.52,OK
2026-02-22 10:41:42,app-05,200,120.0,60.0,244,137,0.98,0.55,OK
2026-02-22 10:41:42,app-06,200,120.0,60.0,226,85,0.9,0.34,OK
2026-02-22 10:41:42,db-primary,500,450.0,90.0,1685,470,6.74,1.88,OK
2026-02-22 10:41:42,db-replica,500,450.0,90.0,656,377,2.62,1.51,OK
2026-02-22 13:41:42,web-01,100,45.0,45.0,145,69,0.58,0.28,OK
2026-02-22 13:41:42,web-02,100,45.0,45.0,162,42,0.65,0.17,OK
2026-02-22 13:41:42,web-03,100,45.0,45.0,113,59,0.45,0.24,OK
2026-02-22 13:41:42,web-04,100,45.0,45.0,68,34,0.27,0.14,OK
2026-02-22 13:41:42,web-05,100,45.0,45.0,142,71,0.57,0.28,OK
2026-02-22 13:41:42,app-01,200,120.0,60.0,301,57,1.2,0.23,OK
2026-02-22 13:41:42,app-02,200,120.0,60.0,339,68,1.36,0.27,OK
2026-02-22 13:41:42,app-03,200,120.0,60.0,285,136,1.14,0.54,OK
2026-02-22 13:41:42,app-04,200,120.0,60.0,334,151,1.34,0.6,OK
2026-02-22 13:41:42,app-05,200,120.0,60.0,231,54,0.92,0.22,OK
2026-02-22 13:41:42,app-06,200,120.0,60.0,141,64,0.56,0.26,OK
2026-02-22 13:41:42,db-primary,500,450.0,90.0,1838,360,7.35,1.44,OK
2026-02-22 13:41:42,db-replica,500,450.0,90.0,1545,743,6.18,2.97,OK
2026-02-22 16:41:42,web-01,100,45.0,45.0,131,72,0.52,0.29,OK
2026-02-22 16:41:42,web-02,100,45.0,45.0,67,94,0.27,0.38,OK
2026-02-22 16:41:42,web-03,100,45.0,45.0,147,51,0.59,0.2,OK
2026-02-22 16:41:42,web-04,100,45.0,45.0,176,42,0.7,0.17,OK
2026-02-22 16:41:42,web-05,100,45.0,45.0,159,90,0.64,0.36,OK
2026-02-22 16:41:42,app-01,200,120.0,60.0,290,71,1.16,0.28,OK
2026-02-22 16:41:42,app-02,200,120.0,60.0,232,152,0.93,0.61,OK
2026-02-22 16:41:42,app-03,200,120.0,60.0,334,104,1.34,0.42,OK
2026-02-22 16:41:42,app-04,200,120.0,60.0,307,179,1.23,0.72,OK
2026-02-22 16:41:42,app-05,200,120.0,60.0,182,73,0.73,0.29,OK
2026-02-22 16:41:42,app-06,200,120.0,60.0,202,100,0.81,0.4,OK
2026-02-22 16:41:42,db-primary,500,450.0,90.0,1681,453,6.72,1.81,OK
2026-02-22 16:41:42,db-replica,500,450.0,90.0,711,463,2.84,1.85,OK
2026-02-22 19:41:42,web-01,100,45.0,45.0,300,48,1.2,0.19,OK
2026-02-22 19:41:42,web-02,100,45.0,45.0,120,139,0.48,0.56,OK
2026-02-22 19:41:42,web-03,100,45.0,45.0,187,60,0.75,0.24,OK
2026-02-22 19:41:42,web-04,100,45.0,45.0,115,138,0.46,0.55,OK
2026-02-22 19:41:42,web-05,100,45.0,45.0,76,150,0.3,0.6,OK
2026-02-22 19:41:42,app-01,200,120.0,60.0,343,277,1.37,1.11,OK
2026-02-22 19:41:42,app-02,200,120.0,60.0,349,205,1.4,0.82,OK
2026-02-22 19:41:42,app-03,200,120.0,60.0,423,178,1.69,0.71,OK
2026-02-22 19:41:42,app-04,200,120.0,60.0,174,102,0.7,0.41,OK
2026-02-22 19:41:42,app-05,200,120.0,60.0,366,106,1.46,0.42,OK
2026-02-22 19:41:42,app-06,200,120.0,60.0,420,93,1.68,0.37,OK
2026-02-22 19:41:42,db-primary,500,450.0,90.0,2841,985,11.36,3.94,OK
2026-02-22 19:41:42,db-replica,500,450.0,90.0,1186,844,4.74,3.38,OK
2026-02-22 22:41:42,web-01,100,45.0,45.0,267,66,1.07,0.26,OK
2026-02-22 22:41:42,web-02,100,45.0,45.0,124,130,0.5,0.52,OK
2026-02-22 22:41:42,web-03,100,45.0,45.0,127,78,0.51,0.31,OK
2026-02-22 22:41:42,web-04,100,45.0,45.0,127,99,0.51,0.4,OK
2026-02-22 22:41:42,web-05,100,45.0,45.0,249,64,1.0,0.26,OK
2026-02-22 22:41:42,app-01,200,120.0,60.0,229,91,0.92,0.36,OK
2026-02-22 22:41:42,app-02,200,120.0,60.0,534,118,2.14,0.47,OK
2026-02-22 22:41:42,app-03,200,120.0,60.0,583,217,2.33,0.87,OK
2026-02-22 22:41:42,app-04,200,120.0,60.0,408,94,1.63,0.38,OK
2026-02-22 22:41:42,app-05,200,120.0,60.0,562,118,2.25,0.47,OK
2026-02-22 22:41:42,app-06,200,120.0,60.0,151,234,0.6,0.94,OK
2026-02-22 22:41:42,db-primary,500,450.0,90.0,2940,900,11.76,3.6,OK
2026-02-22 22:41:42,db-replica,500,450.0,90.0,2950,1369,11.8,5.48,OK
2026-02-23 01:41:42,web-01,100,45.0,45.0,231,90,0.92,0.36,OK
2026-02-23 01:41:42,web-02,100,45.0,45.0,223,73,0.89,0.29,OK
2026-02-23 01:41:42,web-03,100,45.0,45.0,285,55,1.14,0.22,OK
2026-02-23 01:41:42,web-04,100,45.0,45.0,127,136,0.51,0.54,OK
2026-02-23 01:41:42,web-05,100,45.0,45.0,175,132,0.7,0.53,OK
2026-02-23 01:41:42,app-01,200,120.0,60.0,514,126,2.06,0.5,OK
2026-02-23 01:41:42,app-02,200,120.0,60.0,361,142,1.44,0.57,OK
2026-02-23 01:41:42,app-03,200,120.0,60.0,556,96,2.22,0.38,OK
2026-02-23 01:41:42,app-04,200,120.0,60.0,193,78,0.77,0.31,OK
2026-02-23 01:41:42,app-05,200,120.0,60.0,244,214,0.98,0.86,OK
2026-02-23 01:41:42,app-06,200,120.0,60.0,507,75,2.03,0.3,OK
2026-02-23 01:41:42,db-primary,500,450.0,90.0,2625,1012,10.5,4.05,OK
2026-02-23 01:41:42,db-replica,500,450.0,90.0,1785,496,7.14,1.98,OK
2026-02-23 04:41:42,web-01,100,45.0,45.0,180,136,0.72,0.54,OK
2026-02-23 04:41:42,web-02,100,45.0,45.0,174,82,0.7,0.33,OK
2026-02-23 04:41:42,web-03,100,45.0,45.0,295,69,1.18,0.28,OK
2026-02-23 04:41:42,web-04,100,45.0,45.0,201,126,0.8,0.5,OK
2026-02-23 04:41:42,web-05,100,45.0,45.0,291,135,1.16,0.54,OK
2026-02-23 04:41:42,app-01,200,120.0,60.0,367,208,1.47,0.83,OK
2026-02-23 04:41:42,app-02,200,120.0,60.0,504,168,2.02,0.67,OK
2026-02-23 04:41:42,app-03,200,120.0,60.0,448,126,1.79,0.5,OK
2026-02-23 04:41:42,app-04,200,120.0,60.0,556,133,2.22,0.53,OK
2026-02-23 04:41:42,app-05,200,120.0,60.0,334,247,1.34,0.99,OK
2026-02-23 04:41:42,app-06,200,120.0,60.0,373,253,1.49,1.01,OK
2026-02-23 04:41:42,db-primary,500,450.0,90.0,1419,1093,5.68,4.37,OK
2026-02-23 04:41:42,db-replica,500,450.0,90.0,1188,1338,4.75,5.35,OK
2026-02-23 07:41:42,web-01,100,45.0,45.0,144,60,0.58,0.24,OK
2026-02-23 07:41:42,web-02,100,45.0,45.0,72,40,0.29,0.16,OK
2026-02-23 07:41:42,web-03,100,45.0,45.0,92,87,0.37,0.35,OK
2026-02-23 07:41:42,web-04,100,45.0,45.0,151,65,0.6,0.26,OK
2026-02-23 07:41:42,web-05,100,45.0,45.0,109,36,0.44,0.14,OK
2026-02-23 07:41:42,app-01,200,120.0,60.0,370,168,1.48,0.67,OK
2026-02-23 07:41:42,app-02,200,120.0,60.0,106,180,0.42,0.72,OK
2026-02-23 07:41:42,app-03,200,120.0,60.0,338,120,1.35,0.48,OK
2026-02-23 07:41:42,app-04,200,120.0,60.0,342,122,1.37,0.49,OK
2026-02-23 07:41:42,app-05,200,120.0,60.0,136,129,0.54,0.52,OK
2026-02-23 07:41:42,app-06,200,120.0,60.0,399,108,1.6,0.43,OK
2026-02-23 07:41:42,db-primary,500,450.0,90.0,630,475,2.52,1.9,OK
2026-02-23 07:41:42,db-replica,500,450.0,90.0,990,891,3.96,3.56,OK
2026-02-23 10:41:42,web-01,100,45.5,45.5,159,77,0.64,0.31,OK
2026-02-23 10:41:42,web-02,100,45.5,45.5,155,44,0.62,0.18,OK
2026-02-23 10:41:42,web-03,100,45.5,45.5,164,61,0.66,0.24,OK
2026-02-23 10:41:42,web-04,100,45.5,45.5,179,45,0.72,0.18,OK
2026-02-23 10:41:42,web-05,100,45.5,45.5,117,40,0.47,0.16,OK
2026-02-23 10:41:42,app-01,200,121.2,60.6,336,156,1.34,0.62,OK
2026-02-23 10:41:42,app-02,200,121.2,60.6,147,81,0.59,0.32,OK
2026-02-23 10:41:42,app-03,200,121.2,60.6,298,199,1.19,0.8,OK
2026-02-23 10:41:42,app-04,200,121.2,60.6,168,144,0.67,0.58,OK
2026-02-23 10:41:42,app-05,200,121.2,60.6,293,194,1.17,0.78,OK
2026-02-23 10:41:42,app-06,200,121.2,60.6,201,113,0.8,0.45,OK
2026-02-23 10:41:42,db-primary,500,452.1,90.4,513,770,2.05,3.08,WARNING
2026-02-23 10:41:42,db-replica,500,452.1,90.4,877,497,3.51,1.99,WARNING
2026-02-23 13:41:42,web-01,100,45.5,45.5,85,32,0.34,0.13,OK
2026-02-23 13:41:42,web-02,100,45.5,45.5,72,64,0.29,0.26,OK
2026-02-23 13:41:42,web-03,100,45.5,45.5,53,48,0.21,0.19,OK
2026-02-23 13:41:42,web-04,100,45.5,45.5,73,100,0.29,0.4,OK
2026-02-23 13:41:42,web-05,100,45.5,45.5,90,67,0.36,0.27,OK
2026-02-23 13:41:42,app-01,200,121.2,60.6,247,57,0.99,0.23,OK
2026-02-23 13:41:42,app-02,200,121.2,60.6,235,184,0.94,0.74,OK
2026-02-23 13:41:42,app-03,200,121.2,60.6,191,185,0.76,0.74,OK
2026-02-23 13:41:42,app-04,200,121.2,60.6,192,138,0.77,0.55,OK
2026-02-23 13:41:42,app-05,200,121.2,60.6,174,73,0.7,0.29,OK
2026-02-23 13:41:42,app-06,200,121.2,60.6,184,198,0.74,0.79,OK
2026-02-23 13:41:42,db-primary,500,452.1,90.4,1640,597,6.56,2.39,WARNING
2026-02-23 13:41:42,db-replica,500,452.1,90.4,1589,748,6.36,2.99,WARNING
2026-02-23 16:41:42,web-01,100,45.5,45.5,55,77,0.22,0.31,OK
2026-02-23 16:41:42,web-02,100,45.5,45.5,189,78,0.76,0.31,OK
2026-02-23 16:41:42,web-03,100,45.5,45.5,167,54,0.67,0.22,OK
2026-02-23 16:41:42,web-04,100,45.5,45.5,81,55,0.32,0.22,OK
2026-02-23 16:41:42,web-05,100,45.5,45.5,162,68,0.65,0.27,OK
2026-02-23 16:41:42,app-01,200,121.2,60.6,314,170,1.26,0.68,OK
2026-02-23 16:41:42,app-02,200,121.2,60.6,330,182,1.32,0.73,OK
2026-02-23 16:41:42,app-03,200,121.2,60.6,275,98,1.1,0.39,OK
2026-02-23 16:41:42,app-04,200,121.2,60.6,128,173,0.51,0.69,OK
2026-02-23 16:41:42,app-05,200,121.2,60.6,372,108,1.49,0.43,OK
2026-02-23 16:41:42,app-06,200,121.2,60.6,191,166,0.76,0.66,OK
2026-02-23 16:41:42,db-primary,500,452.1,90.4,1924,429,7.7,1.72,WARNING
2026-02-23 16:41:42,db-replica,500,452.1,90.4,1834,561,7.34,2.24,WARNING
2026-02-23 19:41:42,web-01,100,45.5,45.5,132,69,0.53,0.28,OK
2026-02-23 19:41:42,web-02,100,45.5,45.5,141,90,0.56,0.36,OK
2026-02-23 19:41:42,web-03,100,45.5,45.5,162,82,0.65,0.33,OK
2026-02-23 19:41:42,web-04,100,45.5,45.5,132,102,0.53,0.41,OK
2026-02-23 19:41:42,web-05,100,45.5,45.5,237,147,0.95,0.59,OK
2026-02-23 19:41:42,app-01,200,121.2,60.6,273,219,1.09,0.88,OK
2026-02-23 19:41:42,app-02,200,121.2,60.6,388,241,1.55,0.96,OK
2026-02-23 19:41:42,app-03,200,121.2,60.6,345,147,1.38,0.59,OK
2026-02-23 19:41:42,app-04,200,121.2,60.6,315,183,1.26,0.73,OK
2026-02-23 19:41:42,app-05,200,121.2,60.6,426,298,1.7,1.19,OK
2026-02-23 19:41:42,app-06,200,121.2,60.6,595,108,2.38,0.43,OK
2026-02-23 19:41:42,db-primary,500,452.1,90.4,1723,1044,6.89,4.18,WARNING
2026-02-23 19:41:42,db-replica,500,452.1,90.4,2722,601,10.89,2.4,WARNING
2026-02-23 22:41:42,web-01,100,45.5,45.5,198,55,0.79,0.22,OK
2026-02-23 22:41:42,web-02,100,45.5,45.5,264,133,1.06,0.53,OK
2026-02-23 22:41:42,web-03,100,45.5,45.5,160,45,0.64,0.18,OK
2026-02-23 22:41:42,web-04,100,45.5,45.5,217,51,0.87,0.2,OK
2026-02-23 22:41:42,web-05,100,45.5,45.5,180,133,0.72,0.53,OK
2026-02-23 22:41:42,app-01,200,121.2,60.6,340,228,1.36,0.91,OK
2026-02-23 22:41:42,app-02,200,121.2,60.6,537,180,2.15,0.72,OK
2026-02-23 22:41:42,app-03,200,121.2,60.6,366,129,1.46,0.52,OK
2026-02-23 22:41:42,app-04,200,121.2,60.6,412,279,1.65,1.12,OK
2026-02-23 22:41:42,app-05,200,121.2,60.6,397,118,1.59,0.47,OK
2026-02-23 22:41:42,app-06,200,121.2,60.6,378,250,1.51,1.0,OK
2026-02-23 22:41:42,db-primary,500,452.1,90.4,2599,1366,10.4,5.46,WARNING
2026-02-23 22:41:42,db-replica,500,452.1,90.4,1687,948,6.75,3.79,WARNING
2026-02-24 01:41:42,web-01,100,45.5,45.5,199,76,0.8,0.3,OK
2026-02-24 01:41:42,web-02,100,45.5,45.5,138,52,0.55,0.21,OK
2026-02-24 01:41:42,web-03,100,45.5,45.5,172,75,0.69,0.3,OK
2026-02-24 01:41:42,web-04,100,45.5,45.5,78,87,0.31,0.35,OK
2026-02-24 01:41:42,web-05,100,45.5,45.5,82,102,0.33,0.41,OK
2026-02-24 01:41:42,app-01,200,121.2,60.6,414,267,1.66,1.07,OK
2026-02-24 01:41:42,app-02,200,121.2,60.6,408,76,1.63,0.3,OK
2026-02-24 01:41:42,app-03,200,121.2,60.6,258,91,1.03,0.36,OK
2026-02-24 01:41:42,app-04,200,121.2,60.6,154,111,0.62,0.44,OK
2026-02-24 01:41:42,app-05,200,121.2,60.6,247,162,0.99,0.65,OK
2026-02-24 01:41:42,app-06,200,121.2,60.6,526,291,2.1,1.16,OK
2026-02-24 01:41:42,db-primary,500,452.1,90.4,2694,1440,10.78,5.76,WARNING
2026-02-24 01:41:42,db-replica,500,452.1,90.4,843,1261,3.37,5.04,WARNING
2026-02-24 04:41:42,web-01,100,45.5,45.5,226,130,0.9,0.52,OK
2026-02-24 04:41:42,web-02,100,45.5,45.5,82,51,0.33,0.2,OK
2026-02-24 04:41:42,web-03,100,45.5,45.5,291,87,1.16,0.35,OK
2026-02-24 04:41:42,web-04,100,45.5,45.5,267,75,1.07,0.3,OK
2026-02-24 04:41:42,web-05,100,45.5,45.5,114,85,0.46,0.34,OK
2026-02-24 04:41:42,app-01,200,121.2,60.6,457,295,1.83,1.18,OK
