timestamp,server,cpu_percent,load_avg_1m,load_avg_5m,load_avg_15m,status
2026-02-22 10:41:42,web-01,76,3.07,2.77,2.7,OK
2026-02-22 10:41:42,web-02,73,2.67,2.43,2.37,OK
2026-02-22 10:41:42,web-03,74,2.64,2.56,2.44,OK
2026-02-22 10:41:42,web-04,69,3.21,2.87,2.76,OK
2026-02-22 10:41:42,web-05,98,3.66,3.43,3.32,WARNING
2026-02-22 10:41:42,app-01,77,3.41,3.08,2.83,OK
2026-02-22 10:41:42,app-02,98,3.5,3.26,3.08,WARNING
2026-02-22 10:41:42,app-03,95,3.66,3.25,3.08,WARNING
2026-02-22 10:41:42,app-04,86,3.88,3.46,3.26,WARNING
2026-02-22 10:41:42,app-05,64,2.88,2.68,2.51,OK
2026-02-22 10:41:42,app-06,88,3.09,2.79,2.74,WARNING
2026-02-22 10:41:42,db-primary,82,3.77,3.25,3.01,WARNING
2026-02-22 10:41:42,db-replica,91,3.77,3.22,3.02,WARNING
2026-02-22 11:41:42,web-01,59,2.39,2.11,1.95,OK
2026-02-22 11:41:42,web-02,88,3.31,2.99,2.86,WARNING
2026-02-22 11:41:42,web-03,59,2.73,2.27,2.17,OK
2026-02-22 11:41:42,web-04,76,2.92,2.7,2.47,OK
2026-02-22 11:41:42,web-05,72,3.01,2.53,2.36,OK
2026-02-22 11:41:42,app-01,57,2.36,1.94,1.84,OK
2026-02-22 11:41:42,app-02,81,3.33,3.13,2.99,WARNING
2026-02-22 11:41:42,app-03,63,2.38,2.22,2.16,OK
2026-02-22 11:41:42,app-04,84,3.17,3.0,2.9,WARNING
2026-02-22 11:41:42,app-05,88,3.59,3.21,3.08,WARNING
2026-02-22 11:41:42,app-06,77,3.14,2.97,2.8,OK
2026-02-22 11:41:42,db-primary,75,3.42,3.11,2.88,OK
2026-02-22 11:41:42,db-replica,78,3.6,3.33,3.1,OK
2026-02-22 12:41:42,web-01,75,3.27,2.77,2.67,OK
2026-02-22 12:41:42,web-02,82,3.39,2.97,2.85,WARNING
2026-02-22 12:41:42,web-03,86,3.46,3.17,2.97,WARNING
2026-02-22 12:41:42,web-04,85,3.43,3.03,2.85,WARNING
2026-02-22 12:41:42,web-05,63,2.13,1.86,1.72,OK
2026-02-22 12:41:42,app-01,55,2.08,1.93,1.83,OK
2026-02-22 12:41:42,app-02,79,3.52,3.21,2.97,OK
2026-02-22 12:41:42,app-03,59,1.97,1.64,1.64,OK
2026-02-22 12:41:42,app-04,56,1.97,1.67,1.54,OK
2026-02-22 12:41:42,app-05,80,3.67,3.16,3.06,OK
2026-02-22 12:41:42,app-06,91,3.17,2.83,2.67,WARNING
2026-02-22 12:41:42,db-primary,87,3.11,2.89,2.81,WARNING
2026-02-22 12:41:42,db-replica,93,3.73,3.28,3.17,WARNING
2026-02-22 13:41:42,web-01,59,2.0,1.92,1.77,OK
2026-02-22 13:41:42,web-02,84,3.58,3.07,2.87,WARNING
